"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test with steps","This will create new product","SUCCESS","2023-01-03T21:04:41.948Z[Europe/London]","0.0","5.46"
"Store CRUD test with steps","This will create new product","SUCCESS","2023-01-03T21:04:41.958Z[Europe/London]","0.0","5.56"
"Product CRUD test with steps","Verify if the product was added to the list","SUCCESS","2023-01-03T21:04:47.439Z[Europe/London]","0.0","0.06"
"Product CRUD test with steps","Update the product information","SUCCESS","2023-01-03T21:04:47.498Z[Europe/London]","0.0","0.1"
"Store CRUD test with steps","Verify if the product was added to application","SUCCESS","2023-01-03T21:04:47.547Z[Europe/London]","0.0","0.07"
"Product CRUD test with steps","Delete the product and verify if the product is deleted!","SUCCESS","2023-01-03T21:04:47.595Z[Europe/London]","0.0","0.08"
"Store CRUD test with steps","This will update product","SUCCESS","2023-01-03T21:04:47.625Z[Europe/London]","0.0","0.13"
"Store CRUD test with steps","This will delete product","SUCCESS","2023-01-03T21:04:47.754Z[Europe/London]","0.0","0.07"
