"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test with steps","This will create new product","SUCCESS","2023-01-03T21:04:41.948Z[Europe/London]","0.0","5.46"
"Product CRUD test with steps","Verify if the product was added to the list","SUCCESS","2023-01-03T21:04:47.439Z[Europe/London]","0.0","0.06"
"Product CRUD test with steps","Update the product information","SUCCESS","2023-01-03T21:04:47.498Z[Europe/London]","0.0","0.1"
"Product CRUD test with steps","Delete the product and verify if the product is deleted!","SUCCESS","2023-01-03T21:04:47.595Z[Europe/London]","0.0","0.08"
