"Story","Title","Result","Date","Stability","Duration (s)"
"Store CRUD test with steps","This will create new product","SUCCESS","2023-01-03T21:04:41.958Z[Europe/London]","0.0","5.56"
"Store CRUD test with steps","Verify if the product was added to application","SUCCESS","2023-01-03T21:04:47.547Z[Europe/London]","0.0","0.07"
"Store CRUD test with steps","This will update product","SUCCESS","2023-01-03T21:04:47.625Z[Europe/London]","0.0","0.13"
"Store CRUD test with steps","This will delete product","SUCCESS","2023-01-03T21:04:47.754Z[Europe/London]","0.0","0.07"
